feature1,feature2,label
-7.798348990231759,-8.579798332205531,2
-8.600453921719176,-7.649220681735597,2
-0.8641077988463721,6.572598828256277,0
4.204516429773661,4.170723387915112,1
-10.955876261506978,-8.896282215110755,2
6.35519808263214,1.6532926240138779,1
-2.162835771350386,9.784920887655995,0
5.46574174477935,0.8457205783327826,1
-3.46754609874333,8.642968174870687,0
-4.891804617458048,10.327393345465982,0
-3.7126108475115442,12.718842497216198,0
5.353909808158196,0.5873504934194236,1
-2.091470433043239,5.09494588043877,0
-5.339939107153579,8.172995482667604,0
-8.180912329394925,-7.854360360805339,2
-3.913303810807455,8.358961835002786,0
-10.134712066917595,-6.783939699953183,2
0.5895936629128871,2.3460783134795875,1
-2.3150425243566692,10.9515761092641,0
-1.3354834354522096,13.395197379818278,0
-0.19200646503794205,7.372921491494901,0
-2.8317690463847685,9.822387841827398,0
6.590118303063604,1.6790549209364547,1
-7.10428329053293,-7.322048792342392,2
-3.4360330086776747,8.082826621057809,0
-5.820018835320704,-3.996972351960146,2
-8.033169852287935,-5.369327141624435,2
3.003437469761156,6.1579442353116525,1
4.615385290534272,0.17866094096906893,1
-4.288226482303797,7.382665558267445,0
-4.490270273314127,7.8816906689927775,0
-4.650982619174975,9.979230958684692,0
-5.218955558062779,-8.592277245093682,2
-2.081010134792342,6.5228085707743455,0
-9.910009315548375,-4.146361058386898,2
-2.054277753844491,11.628571636763178,0
-5.365649957860566,-8.724440241631198,2
5.129811978445547,0.9592833331984725,1
-7.093687911060385,-8.950594238114695,2
5.3233907877824205,5.7255113623725045,1
7.173701134601346,0.5578307527031705,1
-1.9940968416072216,8.865394296665986,0
-7.854839639296257,-7.7452259689151886,2
4.410799145722866,4.4488023078876555,1
-2.5786211624632367,6.676930052959257,0
-1.7864064120359222,12.09035926113026,0
-6.736494716712485,-7.83542448680618,2
3.6691517405698946,2.136917962713377,1
-6.204421867000866,-7.703863525520881,2
7.8119124685188055,-0.5024613137129661,1
4.7914879526155545,0.6188462609165086,1
-6.8955724737845046,-3.920221315495895,2
-6.146430698957573,-8.759869165930658,2
0.446590466430282,7.977745691651027,0
-4.521032823023617,-6.745072630455729,2
5.669974208840197,9.678632665250174,1
-6.090722906394676,-7.7220785549164725,2
-0.5824453645641066,9.839847982071317,0
4.866913526730597,3.2974310329828254,1
-3.430475164972325,11.128530580636152,0
-6.408398074934138,-5.338379205502013,2
8.905945585540636,-1.9310059151042718,1
6.439078587094603,2.5877687256939508,1
-0.7218655742407947,-4.640959770406793,2
-7.377555488109417,-4.936967691367236,2
2.8430494935313853,2.9570080269537433,1
3.2029903937232294,1.5462753805170375,1
-5.456397434973491,-9.129393776951686,2
-10.286392069861579,-6.991204991069184,2
-4.63380505050496,9.961470989468685,0
7.2508364505367595,2.0151773672062503,1
-4.7627782174520945,-10.397588566122176,2
-8.279078207136441,-6.452149771807503,2
-1.5627223739056606,8.868628302884575,0
-3.2934139293170652,6.087256231934084,0
-6.338713539591592,-6.980585812174221,2
-11.014511391231023,-7.0583496723015235,2
3.1216135131207055,2.2739572568931474,1
-3.71047500289036,8.430898628611768,0
6.998759077670675,1.0348183797313224,1
-4.534859863721598,9.64278079338887,0
-2.653217866213418,11.021351923982369,0
-5.877792815902509,-8.835220082873048,2
-1.8466707602456223,10.96537638244304,0
6.540726512600202,0.8193623726159258,1
-5.208242967020986,-9.139523302591183,2
-4.544063067831655,-6.371267906673521,2
1.222351399236763,9.961951970021897,0
8.170787316790296,2.783133105862643,1
-5.264536358966932,7.138636048368076,0
-10.218437753394014,-5.793389208516077,2
-2.5808497012726535,12.143573439826334,0
-5.921667539658486,-6.21278538270205,2
-0.6783933876486019,9.67178834751769,0
-3.568718030586828,10.040820994425033,0
-7.986925801845635,-9.275865378453643,2
-9.014868049916458,-7.164868563318533,2
-1.9894320345559031,10.577931871752941,0
-8.406145504236303,-10.489873794604986,2
-6.0527573847038685,-3.1265179681598148,2
3.6899882139061893,0.6665112187933082,1
-1.7936229023561836,10.13585518093479,0
4.223634335513551,0.9871678146230664,1
-0.9271337289666564,7.195511218608844,0
-4.1876326694980275,8.395861376495892,0
-2.025273079920682,5.187725638882726,0
-1.8219610439158274,5.488205817472854,0
-2.008211922360997,9.707182547192273,0
8.946243751251213,0.438474558164633,1
-9.676762338789553,-5.754171119894805,2
6.012399216977128,-1.2522620584385713,1
-4.075704207725225,8.370163095786971,0
-4.126184828839126,8.010772041029249,0
-2.3741412136769027,6.164789755771408,0
-2.536192072528618,6.898864270286521,0
5.037998227375041,0.7727359296231426,1
-8.954119499804182,-7.260786949443163,2
1.2136097780463464,4.680914432271558,1
-10.621211033202982,-7.583136561358564,2
